"State","Race","Education","Count"
"AL","White",1,958
"AL","White",2,367
"AL","White",3,358
"AL","White",4,364
"AL","White",5,371
"AL","White",6,377
"AL","White",7,381
"AL","White",8,430
"AL","White",9,556
"AL","White",10,581
"AL","White",11,819
"AL","White",12,951
"AL","White",13,1189
"AL","White",14,1004
"AL","White",15,497
"AL","White",16,7087
"AL","White",17,1755
"AL","White",18,2290
"AL","White",19,4449
"AL","White",20,2157
"AL","White",21,4173
"AL","White",22,1718
"AL","White",23,473
"AL","White",24,269
"AL","White",NA,920
"AL","Black",1,425
"AL","Black",2,136
"AL","Black",3,134
"AL","Black",4,146
"AL","Black",5,152
"AL","Black",6,157
"AL","Black",7,137
"AL","Black",8,163
"AL","Black",9,208
"AL","Black",10,234
"AL","Black",11,325
"AL","Black",12,386
"AL","Black",13,538
"AL","Black",14,618
"AL","Black",15,313
"AL","Black",16,2650
"AL","Black",17,415
"AL","Black",18,616
"AL","Black",19,1551
"AL","Black",20,616
"AL","Black",21,715
"AL","Black",22,328
"AL","Black",23,52
"AL","Black",24,47
"AL","Black",NA,330
"AL","Am. Indian/Native",1,7
"AL","Am. Indian/Native",2,6
"AL","Am. Indian/Native",3,5
"AL","Am. Indian/Native",4,4
"AL","Am. Indian/Native",5,5
"AL","Am. Indian/Native",6,1
"AL","Am. Indian/Native",7,3
"AL","Am. Indian/Native",8,2
"AL","Am. Indian/Native",9,4
"AL","Am. Indian/Native",10,8
"AL","Am. Indian/Native",11,9
"AL","Am. Indian/Native",12,12
"AL","Am. Indian/Native",13,12
"AL","Am. Indian/Native",14,9
"AL","Am. Indian/Native",15,4
"AL","Am. Indian/Native",16,34
"AL","Am. Indian/Native",17,14
"AL","Am. Indian/Native",18,18
"AL","Am. Indian/Native",19,27
"AL","Am. Indian/Native",20,18
"AL","Am. Indian/Native",21,23
"AL","Am. Indian/Native",22,10
"AL","Am. Indian/Native",23,3
"AL","Am. Indian/Native",24,2
"AL","Am. Indian/Native",NA,4
"AL","Asian",1,19
"AL","Asian",2,5
"AL","Asian",3,6
"AL","Asian",4,4
"AL","Asian",5,9
"AL","Asian",6,10
"AL","Asian",7,7
